City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sabang,ID,83.12,overcast clouds,5.8933,95.3214,Hotel Citra
1,Laguna,US,89.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
2,Rikitea,PF,75.63,overcast clouds,-23.1203,-134.9692,Pension Maro'i
3,Dingle,PH,76.3,light rain,10.9995,122.6711,SEGAYA PROPERTY
4,Nikolskoye,RU,73.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
5,Jamestown,US,84.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Butaritari,KI,82.31,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
7,Mecca,SA,88.16,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
8,Sao Gabriel Da Cachoeira,BR,75.0,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
9,Conde,BR,83.66,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
10,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
11,Uige,AO,71.29,overcast clouds,-7.6087,15.0613,Hotel Catraio
12,Kudahuvadhoo,MV,83.19,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
13,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Meulaboh,ID,75.9,overcast clouds,4.1363,96.1285,Kost Pria
15,Atuona,PF,79.12,overcast clouds,-9.8,-139.0333,Villa Enata
16,Abha,SA,73.65,clear sky,18.2164,42.5053,Abha Hotel
17,Santa Cruz De La Palma,ES,71.13,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
18,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
19,Tubuala,PA,89.33,scattered clouds,9.5167,-79.0333,Río Nabagana
20,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
