City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rio Gallegos,AR,2021-06-03 21:41:32,-51.6226,-69.2181,37.45,93,90,3.44
1,Takoradi,GH,2021-06-03 21:43:26,4.8845,-1.7554,80.13,85,36,8.1
2,Cape Town,ZA,2021-06-03 21:38:41,-33.9258,18.4232,55.11,94,0,2.33
3,Ushuaia,AR,2021-06-03 21:43:26,-54.8,-68.3,28.02,93,0,5.75
4,Yulara,AU,2021-06-03 21:43:27,-25.2406,130.9889,46.24,81,81,6.91
5,Asfi,MA,2021-06-03 21:43:27,32.2994,-9.2372,64.27,74,26,15.23
6,Bluff,NZ,2021-06-03 21:38:58,-46.6,168.3333,49.8,84,97,14.23
7,Sibolga,ID,2021-06-03 21:43:28,1.7427,98.7792,77.25,90,100,2.48
8,The Valley,AI,2021-06-03 21:43:28,18.217,-63.0578,84.06,74,20,12.66
9,Nikolskoye,RU,2021-06-03 21:43:28,59.7035,30.7861,60.69,82,20,4.72
10,Esperance,AU,2021-06-03 21:43:29,-33.8667,121.9,51.64,81,0,10.49
11,Luderitz,NA,2021-06-03 21:43:29,-26.6481,15.1594,69.21,31,0,19.84
12,Georgetown,MY,2021-06-03 21:41:58,5.4112,100.3354,80.89,90,20,1.99
13,Monrovia,LR,2021-06-03 21:43:29,6.3005,-10.7969,81.12,81,100,8.14
14,Jamestown,US,2021-06-03 21:42:27,42.097,-79.2353,69.12,95,90,1.99
15,Clyde River,CA,2021-06-03 21:39:05,70.4692,-68.5914,28.63,93,90,12.66
16,Punta Arenas,CL,2021-06-03 21:42:20,-53.15,-70.9167,35.71,93,90,11.99
17,Lebu,CL,2021-06-03 21:43:30,-37.6167,-73.65,56.39,97,100,4.85
18,East London,ZA,2021-06-03 21:43:30,-33.0153,27.9116,58.57,66,87,3.69
19,Paamiut,GL,2021-06-03 21:43:31,61.994,-49.6678,36.61,70,27,10.56
20,Sorkjosen,NO,2021-06-03 21:43:31,69.8,20.9333,56.68,60,10,0.51
21,Pingzhuang,CN,2021-06-03 21:43:31,42.0372,119.2889,57.92,57,74,6.91
22,Rodeo,US,2021-06-03 21:43:31,38.033,-122.2669,99.9,61,1,3.0
23,Puerto Ayora,EC,2021-06-03 21:43:32,-0.7393,-90.3518,82.36,86,43,7.0
24,Busselton,AU,2021-06-03 21:43:32,-33.65,115.3333,49.08,83,11,6.06
25,Mercedes,AR,2021-06-03 21:41:05,-34.6515,-59.4307,63.84,79,90,7.83
26,College,US,2021-06-03 21:39:30,64.8569,-147.8028,69.22,32,75,6.91
27,Kushima,JP,2021-06-03 21:43:33,31.4583,131.2333,78.31,95,100,14.92
28,Hobart,AU,2021-06-03 21:38:42,-42.8794,147.3294,48.06,72,40,11.9
29,Lunglei,IN,2021-06-03 21:43:33,22.8833,92.7333,66.81,99,94,1.86
30,Sao Felix Do Xingu,BR,2021-06-03 21:43:33,-6.6447,-51.995,81.16,56,49,2.93
31,Barrow,US,2021-06-03 21:40:01,71.2906,-156.7887,32.02,80,90,20.71
32,Yellowknife,CA,2021-06-03 21:43:34,62.456,-114.3525,63.12,63,90,9.22
33,Kapaa,US,2021-06-03 21:43:34,22.0752,-159.319,83.19,80,90,5.99
34,Katsuura,JP,2021-06-03 21:43:34,35.1333,140.3,72.1,88,99,23.47
35,Asau,RO,2021-06-03 21:43:35,46.4333,26.4,58.12,75,100,4.88
36,Sigli,ID,2021-06-03 21:43:35,5.3848,95.9609,79.02,85,92,3.94
37,Xucheng,CN,2021-06-03 21:43:35,20.35,110.1288,77.7,82,94,2.89
38,Winneba,GH,2021-06-03 21:43:36,5.3511,-0.6231,84.67,86,9,9.89
39,Rikitea,PF,2021-06-03 21:43:36,-23.1203,-134.9692,72.57,65,89,15.86
40,Fortuna,US,2021-06-03 21:43:36,40.5982,-124.1573,93.47,83,75,4.0
41,Kruisfontein,ZA,2021-06-03 21:43:37,-34.0033,24.7314,48.83,70,11,6.17
42,Avarua,CK,2021-06-03 21:43:37,-21.2078,-159.775,80.65,74,75,5.75
43,Calbuco,CL,2021-06-03 21:43:37,-41.768,-73.1273,52.81,90,100,8.52
44,Alexandria,EG,2021-06-03 21:43:37,31.2156,29.9553,69.76,68,0,11.5
45,Bethel,US,2021-06-03 21:43:38,41.3712,-73.414,73.51,85,90,6.91
46,Kasempa,ZM,2021-06-03 21:43:38,-13.4584,25.8338,61.84,45,70,4.61
47,Atuona,PF,2021-06-03 21:43:38,-9.8,-139.0333,79.3,82,48,18.43
48,Wonthaggi,AU,2021-06-03 21:43:39,-38.6044,145.5913,50.43,73,99,16.58
49,Thompson,CA,2021-06-03 21:43:39,55.7435,-97.8558,59.16,47,90,5.75
50,Statesboro,US,2021-06-03 21:40:22,32.4488,-81.7832,87.94,61,75,9.22
51,Mitsamiouli,KM,2021-06-03 21:43:39,-11.3847,43.2844,77.58,74,12,3.74
52,Kahului,US,2021-06-03 21:43:40,20.8947,-156.47,84.22,71,40,25.32
53,Caravelas,BR,2021-06-03 21:43:40,-17.7125,-39.2481,73.06,86,98,5.48
54,Port Elizabeth,ZA,2021-06-03 21:43:40,-33.918,25.5701,44.89,93,40,3.44
55,Alyangula,AU,2021-06-03 21:43:41,-13.8483,136.4192,66.07,100,51,9.55
56,Nome,US,2021-06-03 21:42:09,64.5011,-165.4064,37.47,60,75,20.71
57,Umkomaas,ZA,2021-06-03 21:43:41,-30.2067,30.7978,55.6,80,97,18.86
58,Dikson,RU,2021-06-03 21:43:41,73.5069,80.5464,30.18,98,98,13.78
59,Danjiangkou,CN,2021-06-03 21:43:42,32.5428,111.5086,61.39,76,27,7.56
60,Khatanga,RU,2021-06-03 21:43:42,71.9667,102.5,32.16,89,100,5.84
61,Changji,CN,2021-06-03 21:43:42,44.0167,87.3167,83.19,21,0,10.63
62,Carnarvon,AU,2021-06-03 21:43:43,-24.8667,113.6333,51.87,93,1,9.22
63,Mataura,NZ,2021-06-03 21:43:43,-46.1927,168.8643,49.48,91,98,4.07
64,Porosozero,RU,2021-06-03 21:43:43,62.7191,32.727,54.95,67,0,2.73
65,Victoria,HK,2021-06-03 21:41:47,22.2855,114.1577,85.32,86,100,5.01
66,Albany,US,2021-06-03 21:43:44,42.6001,-73.9662,73.98,79,96,6.42
67,Bajil,YE,2021-06-03 21:43:44,15.0584,43.2851,89.38,51,83,5.93
68,Jining,CN,2021-06-03 21:43:44,35.405,116.5814,66.99,1,3,1.01
69,Hilo,US,2021-06-03 21:43:45,19.7297,-155.09,80.8,70,40,8.05
70,Marseille,FR,2021-06-03 21:43:45,43.3333,5.5,63.95,70,2,3.8
71,Tuktoyaktuk,CA,2021-06-03 21:43:45,69.4541,-133.0374,44.6,70,75,13.8
72,Bonavista,CA,2021-06-03 21:43:46,48.6499,-53.1147,75.2,69,55,12.06
73,Sinnamary,GF,2021-06-03 21:43:46,5.3833,-52.95,78.82,88,96,9.64
74,Yumen,CN,2021-06-03 21:43:46,40.2833,97.2,62.98,9,0,4.83
75,Arraial Do Cabo,BR,2021-06-03 21:43:30,-22.9661,-42.0278,76.86,83,20,2.3
76,Vao,NC,2021-06-03 21:43:47,-22.6667,167.4833,71.78,72,56,14.94
77,Castro,BR,2021-06-03 21:43:47,-24.7911,-50.0119,61.11,87,32,1.16
78,San Patricio,US,2021-06-03 21:43:47,28.017,-97.5169,83.88,74,96,9.89
79,Bredasdorp,ZA,2021-06-03 21:43:47,-34.5322,20.0403,54.28,93,100,4.65
80,Lorengau,PG,2021-06-03 21:43:48,-2.0226,147.2712,81.19,75,98,0.6
81,Saint-Philippe,RE,2021-06-03 21:43:48,-21.3585,55.7679,71.15,74,15,11.7
82,Bali,ID,2021-06-03 21:43:49,-8.5,115.0,79.77,83,64,3.47
83,Erenhot,CN,2021-06-03 21:43:49,43.6475,111.9767,50.52,70,25,11.18
84,Port Alfred,ZA,2021-06-03 21:43:49,-33.5906,26.891,56.59,64,56,1.95
85,Paraiso,CR,2021-06-03 21:43:49,9.8383,-83.8656,72.46,96,100,2.19
86,Hithadhoo,MV,2021-06-03 21:43:50,-0.6,73.0833,83.48,70,100,18.3
87,Hermanus,ZA,2021-06-03 21:43:50,-34.4187,19.2345,54.9,76,100,9.48
88,Shingu,JP,2021-06-03 21:43:50,33.7333,135.9833,72.91,99,100,11.27
89,Tianpeng,CN,2021-06-03 21:43:51,30.9866,103.9393,64.87,64,100,2.75
